# a composite template for AGN polar dust emission from Lyu & Rieke 2018
# wavelength (micron)  flux(jy)     
      0.0100115      0.0000000
      0.0100346      0.0000000
      0.0100577      0.0000000
      0.0100809      0.0000000
      0.0101042      0.0000000
      0.0101274      0.0000000
      0.0101508      0.0000000
      0.0101742      0.0000000
      0.0101976      0.0000000
      0.0102212      0.0000000
      0.0102447      0.0000000
      0.0102683      0.0000000
      0.0102920      0.0000000
      0.0103157      0.0000000
      0.0103395      0.0000000
      0.0103633      0.0000000
      0.0103872      0.0000000
      0.0104112      0.0000000
      0.0104352      0.0000000
      0.0104592      0.0000000
      0.0104833      0.0000000
      0.0105075      0.0000000
      0.0105317      0.0000000
      0.0105560      0.0000000
      0.0105803      0.0000000
      0.0106047      0.0000000
      0.0106292      0.0000000
      0.0106537      0.0000000
      0.0106782      0.0000000
      0.0107029      0.0000000
      0.0107275      0.0000000
      0.0107523      0.0000000
      0.0107771      0.0000000
      0.0108019      0.0000000
      0.0108268      0.0000000
      0.0108518      0.0000000
      0.0108768      0.0000000
      0.0109018      0.0000000
      0.0109270      0.0000000
      0.0109522      0.0000000
      0.0109774      0.0000000
      0.0110027      0.0000000
      0.0110281      0.0000000
      0.0110535      0.0000000
      0.0110790      0.0000000
      0.0111045      0.0000000
      0.0111301      0.0000000
      0.0111558      0.0000000
      0.0111815      0.0000000
      0.0112073      0.0000000
      0.0112331      0.0000000
      0.0112590      0.0000000
      0.0112850      0.0000000
      0.0113110      0.0000000
      0.0113370      0.0000000
      0.0113632      0.0000000
      0.0113894      0.0000000
      0.0114156      0.0000000
      0.0114419      0.0000000
      0.0114683      0.0000000
      0.0114948      0.0000000
      0.0115213      0.0000000
      0.0115478      0.0000000
      0.0115744      0.0000000
      0.0116011      0.0000000
      0.0116279      0.0000000
      0.0116547      0.0000000
      0.0116815      0.0000000
      0.0117085      0.0000000
      0.0117355      0.0000000
      0.0117625      0.0000000
      0.0117896      0.0000000
      0.0118168      0.0000000
      0.0118440      0.0000000
      0.0118713      0.0000000
      0.0118987      0.0000000
      0.0119261      0.0000000
      0.0119536      0.0000000
      0.0119812      0.0000000
      0.0120088      0.0000000
      0.0120365      0.0000000
      0.0120642      0.0000000
      0.0120921      0.0000000
      0.0121199      0.0000000
      0.0121479      0.0000000
      0.0121759      0.0000000
      0.0122039      0.0000000
      0.0122321      0.0000000
      0.0122603      0.0000000
      0.0122885      0.0000000
