# SED for AGN polar dust: micron   vF_v
      0.0100000      0.0000000
      0.0150000      0.0000000
      0.0220000      0.0000000
      0.0330000      0.0000000
      0.0490000      0.0000000
      0.0730000      0.0000000
      0.1000000      0.0000000
      0.1230000      0.0000000
      0.1510000      0.0000000
      0.1850000      0.0000000
      0.2270000      0.0000000
      0.2790000      0.0000000
      0.3430000      0.0000000
      0.4210000      0.0000003
      0.5170000      0.0000107
      0.5500000      0.0000268
      0.6350000      0.0001767
      0.7800000      0.0015698
      0.9580000      0.0084366
      1.1770000      0.0304646
      1.4450001      0.0804276
      1.7740000      0.1670409
      2.1789999      0.2899410
      2.6760001      0.4436975
      3.2860000      0.6200103
      4.0359998      0.8088166
      4.9559999      1.0108277
      6.0000000      1.2296345
      6.2500000      1.2861991
      6.5000000      1.3323082
      6.7500000      1.3916178
      7.0000000      1.4374048
      7.2500000      1.6873736
      7.5000000      1.9222926
      7.7500000      2.1397400
      8.0000000      2.3440516
      8.2500000      2.8327260
      8.5000000      3.2593024
      8.6000004      3.4160306
      8.6999998      3.5700986
      8.8000002      3.7233236
      8.8999996      3.8760889
      9.0000000      4.0295396
      9.1000004      4.1930246
      9.1999998      4.3474312
      9.3000002      4.4928045
      9.3999996      4.6277061
      9.5000000      4.7525220
      9.6000004      4.8117366
      9.6999998      4.8656182
      9.8000002      4.9079661
      9.8999996      4.9480553
     10.0000000      4.9866219
     10.1000004      5.0046382
     10.1999998      5.0217981
     10.3000002      5.0379758
     10.3999996      5.0512595
     10.5000000      5.0632362
     10.6000004      5.0746422
     10.6999998      5.0858183
     10.8000002      5.0985608
     10.8999996      5.1117582
     11.0000000      5.1259298
     11.1000004      5.1306109
     11.1999998      5.1367106
     11.3000002      5.1439757
     11.3999996      5.1910448
     11.5000000      5.2389507
     11.7500000      5.1302338
     12.0000000      5.1317368
     12.2500000      5.1403790
     12.5000000      5.1379838
     12.7500000      5.1265607
     13.0000000      5.1057305
     13.2500000      5.1284938
     13.5000000      5.1367412
     13.7500000      5.1294069
     14.0000000      5.1038361
     14.2500000      5.2336640
     14.5000000      5.3673482
     14.7500000      5.5027666
     15.0000000      5.6420288
     15.2500000      5.8448176
     15.5000000      6.0506926
     15.7500000      6.2615204
     16.0000000      6.4764519
     16.2500000      6.7089210
     16.5000000      6.9411006
     16.7500000      7.1752768
     17.0000000      7.4088812
     17.2500000      7.6237359
     17.5000000      7.8345890
     17.7500000      8.0417747
     18.0000000      8.2443810
     18.2500000      8.3993196
     18.5000000      8.5496025
     18.7500000      8.6930752
     19.0000000      8.8323946
     19.2500000      8.9151945
     19.5000000      8.9952431
     19.7500000      9.0710983
     20.0000000      9.1434593
     20.8799992      9.3387918
     25.6399994      9.9562931
     31.4799995      9.7570190
     38.6599998      8.3224545
     47.4799995      5.9774837
     58.3100014      3.6734860
     71.6100006      1.9049110
     87.9400024      0.8669218
    108.0000000      0.3764817
    132.6000061      0.1553745
    162.8999939      0.0571172
    200.0000000      0.0218336
    204.3000031      0.0198301
    303.8999939      0.0032799
    452.0000000      0.0005632
    672.2999878      0.0000983
   1000.0000000      0.0000177
