# hdd   tau_V= 6.75
      0.0100000      0.0000047
      0.0150000      0.0000063
      0.0220000      0.0000099
      0.0330000      0.0000185
      0.0490000      0.0000332
      0.0730000      0.0000350
      0.1000000      0.0000359
      0.1230000      0.0000317
      0.1510000      0.0000354
      0.1850000      0.0000548
      0.2270000      0.0001406
      0.2790000      0.0001879
      0.3430000      0.0002207
      0.4210000      0.0002891
      0.5170000      0.0004779
      0.5500000      0.0005784
      0.6350000      0.0008912
      0.7800000      0.0016769
      0.9580000      0.0029204
      1.1770000      0.0054323
      1.4450001      0.0109070
      1.7740000      0.0225588
      2.1789999      0.0445578
      2.6760001      0.0795617
      3.2860000      0.1304790
      4.0359998      0.1975958
      4.9559999      0.2801649
      6.0000000      0.3730769
      6.2500000      0.3958834
      6.5000000      0.4174480
      6.7500000      0.4408053
      7.0000000      0.4624600
      7.2500000      0.5083133
      7.5000000      0.5522836
      7.7500000      0.5946013
      8.0000000      0.6362180
      8.2500000      0.7023739
      8.5000000      0.7563502
      8.6000004      0.7755850
      8.6999998      0.7936659
      8.8000002      0.8112502
      8.8999996      0.8283133
      9.0000000      0.8444712
      9.1000004      0.8596876
      9.1999998      0.8739263
      9.3000002      0.8878967
      9.3999996      0.9012100
      9.5000000      0.9142228
      9.6000004      0.9300001
      9.6999998      0.9459056
      9.8000002      0.9627244
      9.8999996      0.9800841
     10.0000000      0.9971955
     10.1000004      1.0156651
     10.1999998      1.0338942
     10.3000002      1.0518711
     10.3999996      1.0699999
     10.5000000      1.0878606
     10.6000004      1.1058655
     10.6999998      1.1235858
     10.8000002      1.1414423
     10.8999996      1.1594352
     11.0000000      1.1771235
     11.1000004      1.1953846
     11.1999998      1.2137822
     11.3000002      1.2318630
     11.3999996      1.2523558
     11.5000000      1.2725562
     11.7500000      1.3068109
     12.0000000      1.3480769
     12.2500000      1.3894131
     12.5000000      1.4287860
     12.7500000      1.4665564
     13.0000000      1.5020834
     13.2500000      1.5415866
     13.5000000      1.5787863
     13.7500000      1.6129810
     14.0000000      1.6445514
     14.2500000      1.6973258
     14.5000000      1.7520834
     14.7500000      1.8077025
     15.0000000      1.8647838
     15.2500000      1.9325222
     15.5000000      2.0020835
     15.7500000      2.0741289
     16.0000000      2.1474361
     16.2500000      2.2246091
     16.5000000      2.3037863
     16.7500000      2.3836539
     17.0000000      2.4648638
     17.2500000      2.5446517
     17.5000000      2.6250000
     17.7500000      2.7065904
     18.0000000      2.7879810
     18.2500000      2.8639925
     18.5000000      2.9402847
     18.7500000      3.0168271
     19.0000000      3.0943513
     19.2500000      3.1628308
     19.5000000      3.2320313
     19.7500000      3.3011620
     20.0000000      3.3701921
     20.8799992      3.6071541
     25.6399994      4.8907070
     31.4799995      6.2695150
     38.6599998      7.1713066
     47.4799995      6.9888430
     58.3100014      5.7819419
     71.6100006      3.9792898
     87.9400024      2.3644445
    108.0000000      1.3249038
    132.6000061      0.7001876
    162.8999939      0.3304338
    200.0000000      0.1611378
    204.3000031      0.1500328
    303.8999939      0.0393146
    452.0000000      0.0106064
    672.2999878      0.0031649
   1000.0000000      0.0006346
