# hdd   tau_V=10.00
      0.0100000      0.0000006
      0.0150000      0.0000006
      0.0220000      0.0000009
      0.0330000      0.0000017
      0.0490000      0.0000028
      0.0730000      0.0000023
      0.1000000      0.0000019
      0.1230000      0.0000014
      0.1510000      0.0000015
      0.1850000      0.0000027
      0.2270000      0.0000098
      0.2790000      0.0000136
      0.3430000      0.0000170
      0.4210000      0.0000260
      0.5170000      0.0000546
      0.5500000      0.0000717
      0.6350000      0.0001331
      0.7800000      0.0003244
      0.9580000      0.0007223
      1.1770000      0.0017150
      1.4450001      0.0043309
      1.7740000      0.0109027
      2.1789999      0.0253518
      2.6760001      0.0518368
      3.2860000      0.0951439
      4.0359998      0.1585132
      4.9559999      0.2430346
      6.0000000      0.3432692
      6.2500000      0.3683394
      6.5000000      0.3929688
      6.7500000      0.4186299
      7.0000000      0.4433894
      7.2500000      0.4818811
      7.5000000      0.5198318
      7.7500000      0.5560998
      8.0000000      0.5907052
      8.2500000      0.6190805
      8.5000000      0.6361378
      8.6000004      0.6408654
      8.6999998      0.6448318
      8.8000002      0.6476603
      8.8999996      0.6500280
      9.0000000      0.6519232
      9.1000004      0.6504167
      9.1999998      0.6494552
      9.3000002      0.6486900
      9.3999996      0.6485096
      9.5000000      0.6493190
      9.6000004      0.6588462
      9.6999998      0.6695954
      9.8000002      0.6831731
      9.8999996      0.6968870
     10.0000000      0.7111378
     10.1000004      0.7291747
     10.1999998      0.7466105
     10.3000002      0.7646595
     10.3999996      0.7825000
     10.5000000      0.8005409
     10.6000004      0.8183575
     10.6999998      0.8367949
     10.8000002      0.8550001
     10.8999996      0.8729607
     11.0000000      0.8915465
     11.1000004      0.9125482
     11.1999998      0.9333335
     11.3000002      0.9538904
     11.3999996      0.9755769
     11.5000000      0.9965746
     11.7500000      1.0413061
     12.0000000      1.0913463
     12.2500000      1.1415665
     12.5000000      1.1914062
     12.7500000      1.2402645
     13.0000000      1.2880210
     13.2500000      1.3366787
     13.5000000      1.3846157
     13.7500000      1.4317409
     14.0000000      1.4768431
     14.2500000      1.5294771
     14.5000000      1.5836139
     14.7500000      1.6392828
     15.0000000      1.6965145
     15.2500000      1.7577825
     15.5000000      1.8201323
     15.7500000      1.8841949
     16.0000000      1.9493593
     16.2500000      2.0162761
     16.5000000      2.0849760
     16.7500000      2.1548176
     17.0000000      2.2258015
     17.2500000      2.2965448
     17.5000000      2.3683896
     17.7500000      2.4420471
     18.0000000      2.5175481
     18.2500000      2.5912659
     18.5000000      2.6675282
     18.7500000      2.7441409
     19.0000000      2.8225963
     19.2500000      2.8990686
     19.5000000      2.9773438
     19.7500000      3.0558698
     20.0000000      3.1354167
     20.8799992      3.4197695
     25.6399994      5.0447936
     31.4799995      6.9556174
     38.6599998      8.4832058
     47.4799995      8.7446146
     58.3100014      7.5784326
     71.6100006      5.4137855
     87.9400024      3.3093770
    108.0000000      1.8878367
    132.6000061      1.0093751
    162.8999939      0.4785187
    200.0000000      0.2335737
    204.3000031      0.2175599
    303.8999939      0.0567864
    452.0000000      0.0152097
    672.2999878      0.0043877
   1000.0000000      0.0009627
