# dog   tau_V= 6.75
      0.0100000      0.0000042
      0.0150000      0.0000055
      0.0220000      0.0000088
      0.0330000      0.0000163
      0.0490000      0.0000298
      0.0730000      0.0000327
      0.1000000      0.0000341
      0.1230000      0.0000297
      0.1510000      0.0000335
      0.1850000      0.0000544
      0.2270000      0.0001416
      0.2790000      0.0001843
      0.3430000      0.0002098
      0.4210000      0.0002662
      0.5170000      0.0004267
      0.5500000      0.0005121
      0.6350000      0.0007737
      0.7800000      0.0014109
      0.9580000      0.0023497
      1.1770000      0.0043039
      1.4450001      0.0109359
      1.7740000      0.0328716
      2.1789999      0.0876489
      2.6760001      0.1896572
      3.2860000      0.3404486
      4.0359998      0.5240655
      4.9559999      0.7152048
      6.0000000      0.8776443
      6.2500000      0.9109576
      6.5000000      0.9408854
      6.7500000      0.9716647
      7.0000000      0.9955931
      7.2500000      1.0665866
      7.5000000      1.1298077
      7.7500000      1.1864084
      8.0000000      1.2410258
      8.2500000      1.3409556
      8.5000000      1.4146235
      8.6000004      1.4391909
      8.6999998      1.4621997
      8.8000002      1.4835898
      8.8999996      1.5036578
      9.0000000      1.5227164
      9.1000004      1.5403647
      9.1999998      1.5569232
      9.3000002      1.5719833
      9.3999996      1.5858735
      9.5000000      1.5993190
      9.6000004      1.6130772
      9.6999998      1.6263824
      9.8000002      1.6400081
      9.8999996      1.6531730
     10.0000000      1.6662660
     10.1000004      1.6792868
     10.1999998      1.6914183
     10.3000002      1.7034618
     10.3999996      1.7145834
     10.5000000      1.7251804
     10.6000004      1.7356652
     10.6999998      1.7456092
     10.8000002      1.7554328
     10.8999996      1.7646996
     11.0000000      1.7733974
     11.1000004      1.7819594
     11.1999998      1.7899359
     11.3000002      1.7977687
     11.3999996      1.8081971
     11.5000000      1.8185297
     11.7500000      1.8241688
     12.0000000      1.8365384
     12.2500000      1.8482974
     12.5000000      1.8569711
     12.7500000      1.8629507
     13.0000000      1.8656253
     13.2500000      1.8723058
     13.5000000      1.8762621
     13.7500000      1.8768531
     14.0000000      1.8739586
     14.2500000      1.8920072
     14.5000000      1.9112582
     14.7500000      1.9300282
     15.0000000      1.9483174
     15.2500000      1.9752907
     15.5000000      2.0033255
     15.7500000      2.0312200
     16.0000000      2.0596154
     16.2500000      2.0904946
     16.5000000      2.1219954
     16.7500000      2.1528049
     17.0000000      2.1828926
     17.2500000      2.2108476
     17.5000000      2.2386823
     17.7500000      2.2656851
     18.0000000      2.2918272
     18.2500000      2.3126903
     18.5000000      2.3325124
     18.7500000      2.3520133
     19.0000000      2.3711944
     19.2500000      2.3823419
     19.5000000      2.3937500
     19.7500000      2.4046576
     20.0000000      2.4158654
     20.8799992      2.4435291
     25.6399994      2.5660546
     31.4799995      2.6838717
     38.6599998      2.7461615
     47.4799995      2.6022692
     58.3100014      2.2994609
     71.6100006      1.8410313
     87.9400024      1.2711841
    108.0000000      0.7909616
    132.6000061      0.4651095
    162.8999939      0.2451332
    200.0000000      0.1296474
    204.3000031      0.1213850
    303.8999939      0.0347732
    452.0000000      0.0095996
    672.2999878      0.0025949
   1000.0000000      0.0005557
