# dog   tau_V=10.00
      0.0100000      0.0000006
      0.0150000      0.0000006
      0.0220000      0.0000009
      0.0330000      0.0000016
      0.0490000      0.0000029
      0.0730000      0.0000025
      0.1000000      0.0000021
      0.1230000      0.0000015
      0.1510000      0.0000017
      0.1850000      0.0000033
      0.2270000      0.0000125
      0.2790000      0.0000165
      0.3430000      0.0000194
      0.4210000      0.0000277
      0.5170000      0.0000548
      0.5500000      0.0000708
      0.6350000      0.0001262
      0.7800000      0.0002905
      0.9580000      0.0006022
      1.1770000      0.0013949
      1.4450001      0.0045590
      1.7740000      0.0168942
      2.1789999      0.0531480
      2.6760001      0.1316558
      3.2860000      0.2646178
      4.0359998      0.4487139
      4.9559999      0.6641755
      6.0000000      0.8677885
      6.2500000      0.9114584
      6.5000000      0.9520833
      6.7500000      0.9927585
      7.0000000      1.0278447
      7.2500000      1.0921475
      7.5000000      1.1514423
      7.7500000      1.2056592
      8.0000000      1.2576925
      8.2500000      1.3125302
      8.5000000      1.3461739
      8.6000004      1.3561538
      8.6999998      1.3646034
      8.8000002      1.3718270
      8.8999996      1.3781450
      9.0000000      1.3838944
      9.1000004      1.3861459
      9.1999998      1.3888462
      9.3000002      1.3916467
      9.3999996      1.3956890
      9.5000000      1.4002604
      9.6000004      1.4150002
      9.6999998      1.4305170
      9.8000002      1.4484055
      9.8999996      1.4667548
     10.0000000      1.4855769
     10.1000004      1.5065025
     10.1999998      1.5275481
     10.3000002      1.5478886
     10.3999996      1.5679166
     10.5000000      1.5871997
     10.6000004      1.6061380
     10.6999998      1.6247197
     10.8000002      1.6433654
     10.8999996      1.6612020
     11.0000000      1.6786458
     11.1000004      1.6970195
     11.1999998      1.7150002
     11.3000002      1.7325763
     11.3999996      1.7511058
     11.5000000      1.7687701
     11.7500000      1.8006312
     12.0000000      1.8355770
     12.2500000      1.8679287
     12.5000000      1.8970354
     12.7500000      1.9227165
     13.0000000      1.9442710
     13.2500000      1.9667969
     13.5000000      1.9860579
     13.7500000      2.0024540
     14.0000000      2.0141830
     14.2500000      2.0415864
     14.5000000      2.0686898
     14.7500000      2.0954928
     15.0000000      2.1219952
     15.2500000      2.1555293
     15.5000000      2.1890025
     15.7500000      2.2230470
     16.0000000      2.2576926
     16.2500000      2.2936199
     16.5000000      2.3302283
     16.7500000      2.3662062
     17.0000000      2.4022036
     17.2500000      2.4368396
     17.5000000      2.4707534
     17.7500000      2.5039163
     18.0000000      2.5370193
     18.2500000      2.5656753
     18.5000000      2.5934095
     18.7500000      2.6209435
     19.0000000      2.6475163
     19.2500000      2.6684697
     19.5000000      2.6890624
     19.7500000      2.7085037
     20.0000000      2.7275641
     20.8799992      2.7865095
     25.6399994      3.0426958
     31.4799995      3.2829506
     38.6599998      3.4338632
     47.4799995      3.3232198
     58.3100014      2.9739037
     71.6100006      2.3826969
     87.9400024      1.6590925
    108.0000000      1.0527405
    132.6000061      0.6274064
    162.8999939      0.3315433
    200.0000000      0.1759615
    204.3000031      0.1650116
    303.8999939      0.0476914
    452.0000000      0.0133282
    672.2999878      0.0036416
   1000.0000000      0.0008574
