# norm   tau_V= 9.25
      0.0100000      0.0000007
      0.0150000      0.0000008
      0.0220000      0.0000012
      0.0330000      0.0000022
      0.0490000      0.0000038
      0.0730000      0.0000032
      0.1000000      0.0000028
      0.1230000      0.0000021
      0.1510000      0.0000023
      0.1850000      0.0000040
      0.2270000      0.0000134
      0.2790000      0.0000185
      0.3430000      0.0000229
      0.4210000      0.0000340
      0.5170000      0.0000679
      0.5500000      0.0000876
      0.6350000      0.0001562
      0.7800000      0.0003597
      0.9580000      0.0007615
      1.1770000      0.0017377
      1.4450001      0.0046210
      1.7740000      0.0125516
      2.1789999      0.0299351
      2.6760001      0.0599849
      3.2860000      0.1055575
      4.0359998      0.1707539
      4.9559999      0.2607063
      6.0000000      0.3675480
      6.2500000      0.3948818
      6.5000000      0.4229167
      6.7500000      0.4521635
      7.0000000      0.4798478
      7.2500000      0.5117989
      7.5000000      0.5462741
      7.7500000      0.5815605
      8.0000000      0.6179487
      8.2500000      0.6412260
      8.5000000      0.6572517
      8.6000004      0.6622276
      8.6999998      0.6667909
      8.8000002      0.6702244
      8.8999996      0.6732051
      9.0000000      0.6757212
      9.1000004      0.6752084
      9.1999998      0.6752564
      9.3000002      0.6758895
      9.3999996      0.6767548
      9.5000000      0.6786258
      9.6000004      0.6896155
      9.6999998      0.7014624
      9.8000002      0.7161539
      9.8999996      0.7309976
     10.0000000      0.7467949
     10.1000004      0.7655931
     10.1999998      0.7842067
     10.3000002      0.8034495
     10.3999996      0.8225000
     10.5000000      0.8413462
     10.6000004      0.8608254
     10.6999998      0.8800922
     10.8000002      0.8995674
     10.8999996      0.9188141
     11.0000000      0.9382613
     11.1000004      0.9605770
     11.1999998      0.9826923
     11.3000002      1.0045954
     11.3999996      1.0271876
     11.5000000      1.0490986
     11.7500000      1.0992088
     12.0000000      1.1533654
     12.2500000      1.2078226
     12.5000000      1.2625201
     12.7500000      1.3163762
     13.0000000      1.3687502
     13.2500000      1.4210838
     13.5000000      1.4733175
     13.7500000      1.5248400
     14.0000000      1.5755610
     14.2500000      1.6299579
     14.5000000      1.6864384
     14.7500000      1.7432892
     15.0000000      1.8016829
     15.2500000      1.8622597
     15.5000000      1.9250803
     15.7500000      1.9889424
     16.0000000      2.0551286
     16.2500000      2.1223958
     16.5000000      2.1914062
     16.7500000      2.2615185
     17.0000000      2.3334136
     17.2500000      2.4050484
     17.5000000      2.4784656
     17.7500000      2.5529847
     18.0000000      2.6293273
     18.2500000      2.7045972
     18.5000000      2.7809298
     18.7500000      2.8590746
     19.0000000      2.9390628
     19.2500000      3.0162961
     19.5000000      3.0953126
     19.7500000      3.1745596
     20.0000000      3.2540066
     20.8799992      3.5368848
     25.6399994      5.0971828
     31.4799995      6.8231893
     38.6599998      8.0866928
     47.4799995      8.0978518
     58.3100014      6.8869352
     71.6100006      4.9346647
     87.9400024      3.0282226
    108.0000000      1.7069714
    132.6000061      0.9073751
    162.8999939      0.4326378
    200.0000000      0.2111378
    204.3000031      0.1963605
    303.8999939      0.0505161
    452.0000000      0.0130674
    672.2999878      0.0033884
   1000.0000000      0.0007444
