# norm   tau_V=10.00
      0.0100000      0.0000004
      0.0150000      0.0000005
      0.0220000      0.0000007
      0.0330000      0.0000012
      0.0490000      0.0000021
      0.0730000      0.0000017
      0.1000000      0.0000014
      0.1230000      0.0000010
      0.1510000      0.0000011
      0.1850000      0.0000020
      0.2270000      0.0000073
      0.2790000      0.0000102
      0.3430000      0.0000128
      0.4210000      0.0000195
      0.5170000      0.0000411
      0.5500000      0.0000540
      0.6350000      0.0001002
      0.7800000      0.0002446
      0.9580000      0.0005477
      1.1770000      0.0013237
      1.4450001      0.0037098
      1.7740000      0.0105118
      2.1789999      0.0259542
      2.6760001      0.0535951
      3.2860000      0.0967501
      4.0359998      0.1598392
      4.9559999      0.2481971
      6.0000000      0.3543269
      6.2500000      0.3816106
      6.5000000      0.4096354
      6.7500000      0.4389123
      7.0000000      0.4666667
      7.2500000      0.4966947
      7.5000000      0.5294471
      7.7500000      0.5629307
      8.0000000      0.5974360
      8.2500000      0.6131310
      8.5000000      0.6221755
      8.6000004      0.6246715
      8.6999998      0.6263582
      8.8000002      0.6275642
      8.8999996      0.6279207
      9.0000000      0.6281250
      9.1000004      0.6252605
      9.1999998      0.6229168
      9.3000002      0.6211179
      9.3999996      0.6198879
      9.5000000      0.6200120
      9.6000004      0.6296155
      9.6999998      0.6404489
      9.8000002      0.6541187
      9.8999996      0.6687258
     10.0000000      0.6834936
     10.1000004      0.7016587
     10.1999998      0.7200481
     10.3000002      0.7386619
     10.3999996      0.7575000
     10.5000000      0.7765626
     10.6000004      0.7954247
     10.6999998      0.8145032
     10.8000002      0.8337981
     10.8999996      0.8528726
     11.0000000      0.8725962
     11.1000004      0.8947597
     11.1999998      0.9171795
     11.3000002      0.9394031
     11.3999996      0.9618751
     11.5000000      0.9841347
     11.7500000      1.0351864
     12.0000000      1.0908655
     12.2500000      1.1464745
     12.5000000      1.2029247
     12.7500000      1.2586539
     13.0000000      1.3130208
     13.2500000      1.3674681
     13.5000000      1.4219352
     13.7500000      1.4763623
     14.0000000      1.5295676
     14.2500000      1.5848557
     14.5000000      1.6417068
     14.7500000      1.6995593
     15.0000000      1.7584137
     15.2500000      1.8182694
     15.5000000      1.8803688
     15.7500000      1.9435098
     16.0000000      2.0089746
     16.2500000      2.0748699
     16.5000000      2.1424880
     16.7500000      2.2118592
     17.0000000      2.2823317
     17.2500000      2.3532155
     17.5000000      2.4251804
     17.7500000      2.4996495
     18.0000000      2.5752409
     18.2500000      2.6512220
     18.5000000      2.7283056
     18.7500000      2.8072419
     19.0000000      2.8880613
     19.2500000      2.9684796
     19.5000000      3.0492187
     19.7500000      3.1310399
     20.0000000      3.2139425
     20.8799992      3.5084426
     25.6399994      5.1536808
     31.4799995      6.9984989
     38.6599998      8.3902740
     47.4799995      8.4859085
     58.3100014      7.2723980
     71.6100006      5.2359080
     87.9400024      3.2251716
    108.0000000      1.8237981
    132.6000061      0.9705939
    162.8999939      0.4629205
    200.0000000      0.2258013
    204.3000031      0.2100296
    303.8999939      0.0540226
    452.0000000      0.0139838
    672.2999878      0.0036309
   1000.0000000      0.0008097
