# wdd   tau_V= 8.00
      0.0100000      0.0000018
      0.0150000      0.0000022
      0.0220000      0.0000034
      0.0330000      0.0000063
      0.0490000      0.0000111
      0.0730000      0.0000105
      0.1000000      0.0000099
      0.1230000      0.0000081
      0.1510000      0.0000089
      0.1850000      0.0000145
      0.2270000      0.0000427
      0.2790000      0.0000582
      0.3430000      0.0000704
      0.4210000      0.0000985
      0.5170000      0.0001794
      0.5500000      0.0002243
      0.6350000      0.0003725
      0.7800000      0.0007763
      0.9580000      0.0014911
      1.1770000      0.0030717
      1.4450001      0.0074797
      1.7740000      0.0182588
      2.1789999      0.0411705
      2.6760001      0.0811163
      3.2860000      0.1388914
      4.0359998      0.2108551
      4.9559999      0.2978366
      6.0000000      0.3944712
      6.2500000      0.4181691
      6.5000000      0.4414062
      6.7500000      0.4651443
      7.0000000      0.4882612
      7.2500000      0.5257412
      7.5000000      0.5628005
      7.7500000      0.5992588
      8.0000000      0.6346154
      8.2500000      0.6759316
      8.5000000      0.7076523
      8.6000004      0.7183895
      8.6999998      0.7284856
      8.8000002      0.7375642
      8.8999996      0.7463021
      9.0000000      0.7546875
      9.1000004      0.7605209
      9.1999998      0.7666667
      9.3000002      0.7723920
      9.3999996      0.7784375
      9.5000000      0.7851964
      9.6000004      0.7976924
      9.6999998      0.8106651
      9.8000002      0.8260897
      9.8999996      0.8416587
     10.0000000      0.8573718
     10.1000004      0.8756571
     10.1999998      0.8937260
     10.3000002      0.9119792
     10.3999996      0.9299999
     10.5000000      0.9481971
     10.6000004      0.9661459
     10.6999998      0.9842628
     10.8000002      1.0025482
     10.8999996      1.0210016
     11.0000000      1.0391827
     11.1000004      1.0588584
     11.1999998      1.0787181
     11.3000002      1.0983094
     11.3999996      1.1194472
     11.5000000      1.1403246
     11.7500000      1.1806492
     12.0000000      1.2274039
     12.2500000      1.2735878
     12.5000000      1.3191106
     12.7500000      1.3628606
     13.0000000      1.4057293
     13.2500000      1.4502805
     13.5000000      1.4938703
     13.7500000      1.5353067
     14.0000000      1.5750002
     14.2500000      1.6282452
     14.5000000      1.6829528
     14.7500000      1.7385617
     15.0000000      1.7956731
     15.2500000      1.8604269
     15.5000000      1.9263223
     15.7500000      1.9933596
     16.0000000      2.0628207
     16.2500000      2.1347659
     16.5000000      2.2079327
     16.7500000      2.2823217
     17.0000000      2.3579328
     17.2500000      2.4333837
     17.5000000      2.5093150
     17.7500000      2.5864084
     18.0000000      2.6646636
     18.2500000      2.7396939
     18.5000000      2.8150241
     18.7500000      2.8913763
     19.0000000      2.9687502
     19.2500000      3.0409760
     19.5000000      3.1132812
     19.7500000      3.1864285
     20.0000000      3.2596157
     20.8799992      3.5159714
     25.6399994      4.9194694
     31.4799995      6.4599581
     38.6599998      7.5290976
     47.4799995      7.4472842
     58.3100014      6.2281446
     71.6100006      4.3207002
     87.9400024      2.5849993
    108.0000000      1.4538462
    132.6000061      0.7708439
    162.8999939      0.3649587
    200.0000000      0.1784455
    204.3000031      0.1660756
    303.8999939      0.0438561
    452.0000000      0.0121946
    672.2999878      0.0032834
   1000.0000000      0.0006931
