# wdd   tau_V=10.00
      0.0100000      0.0000005
      0.0150000      0.0000005
      0.0220000      0.0000008
      0.0330000      0.0000014
      0.0490000      0.0000024
      0.0730000      0.0000019
      0.1000000      0.0000016
      0.1230000      0.0000012
      0.1510000      0.0000013
      0.1850000      0.0000023
      0.2270000      0.0000083
      0.2790000      0.0000116
      0.3430000      0.0000145
      0.4210000      0.0000222
      0.5170000      0.0000467
      0.5500000      0.0000613
      0.6350000      0.0001139
      0.7800000      0.0002778
      0.9580000      0.0006210
      1.1770000      0.0014944
      1.4450001      0.0041926
      1.7740000      0.0114997
      2.1789999      0.0284946
      2.6760001      0.0606389
      3.2860000      0.1109420
      4.0359998      0.1786771
      4.9559999      0.2648760
      6.0000000      0.3637019
      6.2500000      0.3883714
      6.5000000      0.4125000
      6.7500000      0.4375601
      7.0000000      0.4621795
      7.2500000      0.4940805
      7.5000000      0.5270433
      7.7500000      0.5592047
      8.0000000      0.5903847
      8.2500000      0.6101563
      8.5000000      0.6214945
      8.6000004      0.6246715
      8.6999998      0.6270553
      8.8000002      0.6286218
      8.8999996      0.6300601
      9.0000000      0.6306491
      9.1000004      0.6285418
      9.1999998      0.6266026
      9.3000002      0.6252164
      9.3999996      0.6247837
      9.5000000      0.6249599
      9.6000004      0.6346155
      9.6999998      0.6447236
      9.8000002      0.6580450
      9.8999996      0.6718991
     10.0000000      0.6858975
     10.1000004      0.7032773
     10.1999998      0.7208655
     10.3000002      0.7386619
     10.3999996      0.7566667
     10.5000000      0.7744592
     10.6000004      0.7924520
     10.6999998      0.8106451
     10.8000002      0.8286058
     10.8999996      0.8471956
     11.0000000      0.8655450
     11.1000004      0.8863102
     11.1999998      0.9073077
     11.3000002      0.9280850
     11.3999996      0.9500000
     11.5000000      0.9707734
     11.7500000      1.0168271
     12.0000000      1.0682694
     12.2500000      1.1194813
     12.5000000      1.1703727
     12.7500000      1.2208533
     13.0000000      1.2708335
     13.2500000      1.3207532
     13.5000000      1.3710939
     13.7500000      1.4207233
     14.0000000      1.4684296
     14.2500000      1.5226263
     14.5000000      1.5778047
     14.7500000      1.6351463
     15.0000000      1.6935097
     15.2500000      1.7547277
     15.5000000      1.8182695
     15.7500000      1.8823019
     16.0000000      1.9487181
     16.2500000      2.0162761
     16.5000000      2.0849760
     16.7500000      2.1554890
     17.0000000      2.2271636
     17.2500000      2.2986183
     17.5000000      2.3718948
     17.7500000      2.4463143
     18.0000000      2.5225964
     18.2500000      2.5978465
     18.5000000      2.6749403
     18.7500000      2.7531552
     19.0000000      2.8324924
     19.2500000      2.9114084
     19.5000000      2.9906251
     19.7500000      3.0709038
     20.0000000      3.1514423
     20.8799992      3.4406829
     25.6399994      5.0704746
     31.4799995      6.9404826
     38.6599998      8.3716879
     47.4799995      8.5296602
     58.3100014      7.3074398
     71.6100006      5.1727905
     87.9400024      3.1384997
    108.0000000      1.7805291
    132.6000061      0.9488125
    162.8999939      0.4498024
    200.0000000      0.2197115
    204.3000031      0.2045456
    303.8999939      0.0537426
    452.0000000      0.0147842
    672.2999878      0.0039648
   1000.0000000      0.0008778
